printer_name,manufacturer,model,technology,materials_category,process_family,build_x_mm,build_y_mm,build_z_mm,build_volume_liters_raw,resolution_xy_um_raw,resolution_z_um_raw,accuracy_lt100_raw,accuracy_gt100_raw,print_time_full_build_min_h,print_time_full_build_max_h,typical_post_print_time_h,supported_materials_list,supports_esd,supports_flame_retardant,supports_biocompatible,supports_optically_clear,supports_fluid_seal,printer_msrp_usd_raw,full_solution_msrp_usd_raw,general_notes,limitations,common_applications,Surface_Roughness_No_Post_Process_ISO_N_Grade,Surface_Roughness_No_Post_Process_um
Formlabs Form 4,Formlabs,Form 4,"Low Force Display (LFD), DLP/SLA",Thermoset Resin (Liquid),SLA/DLP,200,125,210,5.3,50,25-200,±0.2%,±0.3%,3.5,50,0.5,Black V5; Grey V5; White V5; Clear V5; Fast Model; Precision Model; Tough 2000 V2; Tough 1500 V2; Tough 1000 Rigid 10K V1.1; Rigid 4000 V1.1; High Temp V2; Flame Retardant; ESD Resin; Silicone 40A; Elastic 50A; V2 Flexible 80A; Clear Cast V1; True Cast; Alumina 4N,yes,yes,no,yes,yes,6500,9000,"SLA/LFD provide Isotropic properties, Solid infill parts, Fluid seal, Best surface finish",Outdoor long time usage require post process,"Visual models, Functional prototypes, Jigs and fixtures, Molds",N6,0.5 - 4.3
Formlabs Form 4B,Formlabs,Form 4B,"Low Force Display (LFD), DLP/SLA",Thermoset Resin (Liquid),SLA/DLP,200,125,210,5.3,50,25-200,±0.2%,±0.3%,,,0.5,Black V5; Grey V5; White V5; Clear V5; Fast Model; Precision Model; Tough 2000 V2; Tough 1500 V2; Tough 1000 Rigid 10K V1.1; Rigid 4000 V1.1; High Temp V2; Flame Retardant; ESD Resin; Silicone 40A; Elastic 50A; V2 Flexible 80A; Clear Cast V1; True Cast; Alumina 4N; BioMed Clear; BioMed White; BioMed Black; BioMed Amber; BioMed Durable; BioMed Elastic; BioMed Flex 80A,yes,yes,yes,yes,yes,,11000,"SLA/LFD provide Isotropic properties, Solid infill parts, Fluid seal, Best surface finish | Form 4B is FDA approved, and able to print Biocompatible materials",Outdoor long time usage require post process,"Visual models, Functional prototypes, Jigs and fixtures, Medical devices",N6,0.5 - 4.3
Formlabs Form 4L,Formlabs,Form 4L,"Low Force Display (LFD), DLP/SLA",Thermoset Resin (Liquid),SLA/DLP,353,196,350,24.2,50,50-200,±0.2%,±0.3%,,,0.5,Black V5; Grey V5; White V5; Clear V5; Fast Model; Precision Model; Tough 2000 V2; Tough 1500 V2; Tough 1000 Rigid 10K V1.1; Rigid 4000 V1.1; High Temp V2; Flame Retardant; ESD Resin; Silicone 40A; Elastic 50A; V2 Flexible 80A; Clear Cast V1; True Cast,yes,yes,no,yes,yes,,,"SLA/LFD provide Isotropic properties, Solid infill parts, Fluid seal, Best surface finish",Outdoor long time usage require post process,"Visual models, Functional prototypes, Jigs and fixtures, Medical devices",N6,0.5 - 4.3
Formlabs Form 4BL,Formlabs,Form 4BL,"Low Force Display (LFD), DLP/SLA",Thermoset Resin (Liquid),SLA/DLP,353,196,350,24.2,50,50-200,±0.2%,±0.3%,,,0.5,Black V5; Grey V5; White V5; Clear V5; Fast Model; Precision Model; Tough 2000 V2; Tough 1500 V2; Tough 1000 Rigid 10K V1.1; Rigid 4000 V1.1; High Temp V2; Flame Retardant; ESD Resin; Silicone 40A; Elastic 50A; V2 Flexible 80A; Clear Cast V1; True Cast; BioMed Clear; BioMed White; BioMed Black; BioMed Amber; BioMed Durable; BioMed Elastic; BioMed Flex 80A,yes,yes,yes,yes,yes,,,"SLA/LFD provide Isotropic properties, Solid infill parts, Fluid seal, Best surface finish | Form 4BL compatbile with FDA approved Biocompatible materials",Outdoor long time usage require post process,"Visual models, Functional prototypes, Jigs and fixtures, Medical devices",N6,0.5 - 4.3
Formlabs Fuse1+,Formlabs,Fuse1+,Selective Laser Sintering (SLS),Thermoplastic Powder,SLS,165,165,300,8.2,250,110,±125 um,±125 um,,,14,Nylon 12; Nylon 12 Tough; Nylon 12 White; Nylon 12 GF; Nylon 11; Nylon 11 CF; TPU,no,no,no,no,yes,21000,75000,SLS require post process including Depowdering and Bead blasting to remove loose powder from parts | SLS parts can be vapor smooth to improve surface finish,,"End use parts, Complex geomtry parts",N9,4.3 - 11.5
Markforged Mark Two,Markforged,Mark Two,"Fused Filament Fabrication (FFF), Continuous Fiber Fabrication (CFR)","Thermoplastic Filament, Continuous Fiber",FDM-CFR,320,152,154,7.5,400,100,±125 um,±125 um,,,0,Onyx (PA6 CF); Nylon; PLA; TPU,no,no,no,no,no,17000,17000,Markforged/CFR Continuous Fibers are on XY plane only | Part print orientation is crucial for best results | Design for AM (DfAM) is recommended.,,"End use parts, Mechanical parts, High durabilty",N10,
Markforged X7,Markforged,X7,"Fused Filament Fabrication (FFF), Continuous Fiber Fabrication (CFR)","Thermoplastic Filament, Continuous Fiber",FDM-CFR,330,270,200,17.8,400,50,±125 um,±125 um,,,0,Onyx (PA6 CF); Onyx ESD; Nylon; PLA; TPU,yes,no,no,no,no,87000,87000,Markforged/CFR Continuous Fibers are on XY plane only | Part print orientation is crucial for best results | Design for AM (DfAM) is recommended.,,"End use parts, Mechanical parts, High durabilty",N10,
Markforged FX10,Markforged,FX10,"Fused Filament Fabrication (FFF), Continuous Fiber Fabrication (CFR)","Thermoplastic Filament, Continuous Fiber",FDM-CFR,375,300,300,33.8,400,100,±125 um,±125 um,,,0,Onyx (PA6 CF); Onyx ESD; Nylon FS,yes,no,no,no,no,118000,,Markforged/CFR Continuous Fibers are on XY plane only | Part print orientation is crucial for best results | Design for AM (DfAM) is recommended.,,"End use parts, Outdoor",N10,
Markforged FX20,Markforged,FX20,"Fused Filament Fabrication (FFF), Continuous Fiber Fabrication (CFR)","Thermoplastic Filament, Continuous Fiber",FDM-CFR,525,400,400,84.0,400,50,±125 um,±125 um,,,0,Onyx (PA6 CF); Onyx ESD; Onyx FR; Onyx FR-A; Ultem 9085; Vega (PEKK+CF),yes,yes,no,no,no,325000,,Markforged/CFR Continuous Fibers are on XY plane only | Part print orientation is crucial for best results | Design for AM (DfAM) is recommended.,,"End use parts, Outdoor, Radar dome (Ultem 9085), High service temperture, Ultra High Strength, Ultra High Toughness",N10,
HP 4200,HP,4200,Multi Jet Fusion (MJF),Thermoplastic Powder,MJF,380,284,380,41.0,300,80,±200 um,±0.2%,10,,40,PA 12; PA 12 Glass Beads; PA 11,no,no,yes,no,yes,,,MJF technology provide best in class parts (Gold standard) | Design for AM (DfAM) is recommended for optimal results,,"End use parts, Production",N9,2.7 - 8.9
